Products,Revenue,Revenue_%,Cumulative_%,ABC_Class
Product 134,103530.0,0.09246312110156418,96.48959939143253,C
Product 135,102018.08,0.09111281836751726,96.58071220980005,C
Product 136,100867.62,0.09008533722869272,96.67079754702874,C
Product 137,99729.15,0.089068564414238,96.75986611144297,C
Product 138,97509.75,0.08708640802504829,96.84695251946802,C
Product 139,95417.76,0.08521804209523796,96.93217056156325,C
Product 140,91790.0,0.08197807288624144,97.0141486344495,C
Product 141,91790.0,0.08197807288624144,97.09612670733574,C
Product 142,86310.0,0.07708385957960016,97.17321056691534,C
Product 143,82200.0,0.0734131995996192,97.24662376651496,C
Product 144,79320.0,0.07084105829977853,97.31746482481473,C
Product 145,78503.6,0.07011192768964315,97.38757675250437,C
Product 146,78008.04,0.06966934076514694,97.45724609326952,C
Product 147,75946.0,0.06782772331864574,97.52507381658816,C
Product 148,72965.0,0.06516537845238704,97.59023919504055,C
Product 149,69769.99,0.062311900266830124,97.65255109530739,C
Product 150,69048.0,0.06166708766368013,97.71421818297107,C
Product 151,68493.15,0.0611715485663827,97.77538973153744,C
Product 152,65855.9,0.05881620841256158,97.83420593995001,C
Product 153,65075.0,0.05811878301636521,97.89232472296638,C
Product 154,64390.0,0.057507006353035045,97.94983172931941,C
Product 155,62992.6,0.05625898195984151,98.00609071127926,C
Product 156,61854.0,0.05524209304178645,98.06133280432104,C
Product 157,58978.5,0.05267397071272678,98.11400677503377,C
Product 158,57943.2,0.05174933950171113,98.16575611453548,C
Product 159,57943.2,0.05174933950171113,98.2175054540372,C
Product 160,57677.0,0.051511595052399474,98.2690170490896,C
Product 161,57540.0,0.05138923971973344,98.32040628880934,C
Product 162,55550.0,0.04961196152991297,98.37001825033926,C
Product 163,55315.12,0.04940218911723709,98.41942043945649,C
Product 164,53910.5,0.048147716508701595,98.4675681559652,C
Product 165,53804.01,0.04805260979793075,98.51562076576313,C
Product 166,53430.0,0.047718579739752486,98.56333934550288,C
Product 167,49040.0,0.04379785046673146,98.60713719596961,C
Product 168,48785.7,0.04357073396237399,98.65070792993198,C
Product 169,48484.3,0.04330155223050873,98.69400948216249,C
Product 170,47950.0,0.0428243664331112,98.7368338485956,C
Product 171,47950.0,0.0428243664331112,98.7796582150287,C
Product 172,47405.0,0.042337624416301074,98.82199583944501,C
Product 173,46237.5,0.0412949247747858,98.8632907642198,C
Product 174,46106.4,0.041177838759365974,98.90446860297916,C
Product 175,46106.4,0.041177838759365974,98.94564644173853,C
Product 176,42812.5,0.038236041458135,98.98388248319667,C
Product 177,41100.0,0.0367065997998096,99.02058908299648,C
Product 178,39387.5,0.0351771581414842,99.05576624113796,C
Product 179,38908.0,0.03474891447715309,99.09051515561511,C
Product 180,38808.0,0.03465960401535307,99.12517475963047,C
Product 181,35654.25,0.03184297532633483,99.15701773495681,C
Product 182,34880.0,0.03115148907584815,99.18816922403266,C
Product 183,34250.0,0.030588833166508005,99.21875805719917,C
Product 184,34250.0,0.030588833166508005,99.24934689036567,C
Product 185,33132.08,0.029590413651953182,99.27893730401763,C
Product 186,32880.0,0.029365279839847682,99.30830258385748,C
Product 187,32880.0,0.029365279839847682,99.33766786369733,C
Product 188,31634.67,0.028253069865913447,99.36592093356325,C
Product 189,29263.199999999997,0.02613509905746443,99.39205603262072,C
Product 190,29222.1,0.026098392457664626,99.41815442507838,C
Product 191,28013.76,0.025019218423550222,99.44317364350194,C
Product 192,27670.0,0.024712204780066464,99.46788584828201,C
Product 193,26030.0,0.02324751320654608,99.49113336148855,C
Product 194,24824.399999999998,0.022170786279084996,99.51330414776764,C
